created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1,month,tag,emoji
2020-07-24 17:07:48,Isle of Man,239,203,Isle of Man,"Isle of Man, U.K",0,leelaskitchen,#IsleofMan,friday time relax not_think not_of not_a not_bett not_drink not_to not_hav not_right not_now not_just not_ne not_som not_ic fevertre tonic lime glass chai chaigin tgifriday colabor unescobiospher isleofman himalayanjunip junip gin,1.286709679243092e+18,Leela's kitchen,0.3335,Politics,Isle of Man,7,#chai #chaigin #tgifriday #colaboration #unescobiosphere #isleofman #himalayanjuniper #juniper #gin,❤ 🇮 🇲 🇳 🏼 😁 🙏
2020-07-24 17:07:37,Isle of Man,1432,1221,Isle of Man,Isle of Man,4,MHKSTWFY,#IsleofMan,treasuri propos creation econom recoveri fund bolster busi promote…,1.2867096344731077e+18,mhkstheyworkforyou,0.4404,Politics,Isle of Man,7,,
2020-07-24 17:07:32,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",4,BALLASALLAIOM,#IsleofMan,treasuri propos creation econom recoveri fund bolster busi promote…,1.2867096145962926e+18,BALLASALLA IOM,0.4404,Politics,Isle of Man,7,,
2020-07-24 17:07:27,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,4,ballasallaeddie,#IsleofMan,treasuri propos creation econom recoveri fund bolster busi promote…,1.286709591829631e+18,eddie power,0.4404,Politics,Isle of Man,7,,
2020-07-24 17:07:23,Isle of Man,3326,4282,Isle of Man,Isle of Man,4,CROWNDPN,#IsleofMan,treasuri propos creation econom recoveri fund bolster busi promote…,1.286709575408857e+18,crown dependency pol,0.4404,Politics,Isle of Man,7,,
2020-07-24 17:07:06,Isle of Man,1432,1221,Isle of Man,Isle of Man,5,MHKSTWFY,#IsleofMan,daili coronaviru covid report coronaviru isleofman corona covid,1.2867095027467346e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,#coronavirus #isleofman #corona #covid19,
2020-07-24 17:07:01,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",5,BALLASALLAIOM,#IsleofMan,daili coronaviru covid report coronaviru isleofman corona covid,1.2867094858102088e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,#coronavirus #isleofman #corona #covid19,
2020-07-24 17:06:57,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,5,ballasallaeddie,#IsleofMan,daili coronaviru covid report coronaviru isleofman corona covid,1.286709466675712e+18,eddie power,0.0,Politics,Isle of Man,7,#coronavirus #isleofman #corona #covid19,
2020-07-24 17:06:53,Isle of Man,3326,4282,Isle of Man,Isle of Man,5,CROWNDPN,#IsleofMan,daili coronaviru covid report coronaviru isleofman corona covid,1.2867094504857068e+18,crown dependency pol,0.0,Politics,Isle of Man,7,#coronavirus #isleofman #corona #covid19,
2020-07-24 17:02:43,Isle of Man,909,714,Isle of Man,Isle of Man,1,NookiedV,#IsleofMan,cometneowis start week skylight not_bad not_given not_th not_light not_pollut not_if not_you not_look not_car not_you not_can not_s…,1.2867084024382505e+18,Anouk de Vos 🇮🇲,0.5187,Politics,Isle of Man,7,#cometneowise,
2020-07-24 17:02:26,Isle of Man,1432,1221,Isle of Man,Isle of Man,0,MHKSTWFY,#IsleofMan,cheeki sod say bout whine chamber cheeki sod isleofman,1.2867083290840517e+18,mhkstheyworkforyou,-0.2942,Politics,Isle of Man,7,#isleofman,
2020-07-24 17:02:03,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",0,BALLASALLAIOM,#IsleofMan,cheeki sod say bout whine chamber cheeki sod isleofman,1.2867082349302702e+18,BALLASALLA IOM,-0.2942,Politics,Isle of Man,7,#isleofman,
2020-07-24 17:01:42,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,0,ballasallaeddie,#IsleofMan,cheeki sod say bout whine chamber cheeki sod isleofman,1.286708146220794e+18,eddie power,-0.2942,Politics,Isle of Man,7,#isleofman,
2020-07-24 17:01:21,Isle of Man,3326,4282,Isle of Man,Isle of Man,0,CROWNDPN,#IsleofMan,cheeki sod say bout whine chamber cheeki sod isleofman,1.286708056517206e+18,crown dependency pol,-0.2942,Politics,Isle of Man,7,#isleofman,
2020-07-24 16:56:45,Isle of Man,225,1101,Isle of Man,Saint Peter Port,1,melkite121,#IsleofMan,glad hear enjoy isleofman holiday could someon let guernseyman know…,1.2867068994471444e+18,Mel Kite,0.8553,Politics,Isle of Man,7,#isleofman #guernseyman,
2020-07-24 16:55:58,Isle of Man,1119,2136,Isle of Man,"Middelburg, MP South Africa",2,FepaMahlo,#IsleofMan,gener observ pay dayfor isleofman streetphotographi fridaymotiv blackandwhitephotograph…,1.286706702021206e+18,Bro Phil,-0.1027,Politics,Isle of Man,7,#isleofman #streetphotography #fridaymotivation #blackandwhitephotograph…,
2020-07-24 16:55:23,Isle of Man,225,1101,Isle of Man,Saint Peter Port,2,melkite121,#IsleofMan,classic guernseyman becom sensat isleofman,1.2867065545914982e+18,Mel Kite,0.0,Politics,Isle of Man,7,#guernseyman #isleofman,
2020-07-24 16:55:05,Isle of Man,225,1101,Isle of Man,Saint Peter Port,1,melkite121,#IsleofMan,took less min isleofman commun locat hear guernseyman tomorrow,1.286706479647658e+18,Mel Kite,-0.29600000000000004,Politics,Isle of Man,7,#isleofman #guernseyman,
2020-07-24 16:45:31,Isle of Man,207,126,Isle of Man,"Port St Mary, Isle of Man",0,islandescapesim,#IsleofMan,staycat summer properti join help demand packet hous castletown sleep one place left august avail find isleofman iomstori,1.286704073685848e+18,Island Escapes,0.3595,Politics,Isle of Man,7,#isleofman #iomstory,
2020-07-24 16:37:38,Isle of Man,564,817,Isle of Man,Isle of Man,0,FalconerFotos,#IsleofMan,come join happi team isleofman vacanc develop php api java graduat,1.2867020901406843e+18,FalconerFotos.im 🇮🇲,0.7345,Politics,Isle of Man,7,#isleofman #vacancy #developer #php #api #java #graduate,
2020-07-24 16:07:38,Isle of Man,1333,1669,Isle of Man,"Castletown, Isle of Man",11,markrobertson6,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2866945390178222e+18,mark 🇮🇲🇮🇲,0.8052,Politics,Isle of Man,7,,
2020-07-24 16:03:48,Isle of Man,10897,511,Isle of Man,"Douglas, Isle of Man",4,iomnewspapers,#IsleofMan,polic issu staement say fall bracket know children not_with not_you not_ not_isleofman,1.2866935746340168e+18,Isle of Man Newspapers,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 16:00:57,Isle of Man,10897,511,Isle of Man,"Douglas, Isle of Man",4,iomnewspapers,#IsleofMan,treasuri propos creation econom recoveri fund bolster busi promot innov creat train employ opportun invest domest economi isleofman,1.2866928555793162e+18,Isle of Man Newspapers,0.8957,Politics,Isle of Man,7,#isleofman,
2020-07-24 15:55:18,Isle of Man,76,365,Isle of Man,Hong Kong,0,Foxcharlie,#IsleofMan,aircraft pilatu pcxii fli near briancon tail myfli flyhighlimit eac isleofman adsb raspberrypi sigfox,1.2866914353628897e+18,foxtrotcharlie.ovh,0.0,Politics,Isle of Man,7,#aircraft #pilatus #briancon🏔️ #france #flyhighlimited #isleofman #adsb #raspberrypi #sigfox,✈ 🏔 📡
2020-07-24 15:49:37,Isle of Man,163,1527,Isle of Man,"Castletown, Isle of Man",0,MLewisRobertso1,#IsleofMan,sure maxx cheap fanci chocol isleofman,1.2866900074204815e+18,MLewisRobertson,0.3182,Politics,Isle of Man,7,#isleofman,🍫 😋
2020-07-24 15:35:12,Isle of Man,160,498,Isle of Man,"Douglas, Isle of Man",0,Forest_Homes,#IsleofMan,due complet soon clyps cottag onchan isleofman build countri home set within ground larg detach properti bed garag luxuri kitchen high spec bathroom bespok arrang buyer £poa pleas,1.2866863780388905e+18,Forest Homes,0.2023,Politics,Isle of Man,7,#isleofman,✅ 🎉
2020-07-24 15:30:21,Isle of Man,139,393,Isle of Man,-,5,tanb2002,#IsleofMan,daili coronaviru covid report coronaviru isleofman corona covid,1.286685155277648e+18,tan b,0.0,Politics,Isle of Man,7,#coronavirus #isleofman #corona #covid19,
2020-07-24 15:24:33,Isle of Man,100,327,Isle of Man,"Douglas, Isle of Man",1,CheethamKirrie,#IsleofMan,john knight infam arriv isleofman shore went viral chat chri pearson sia…,1.286683697014612e+18,Kirrie Cheetham,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 15:22:09,Isle of Man,4404,1418,Isle of Man,Isle of Man,3,IOMDfEnterprise,#IsleofMan,coastlin offer true slice seren spectacular set isleofman iomferri ht…,1.286683091537363e+18,Department for Enterprise,0.4215,Politics,Isle of Man,7,#isleofman #iomferry,✨
2020-07-24 15:07:40,Isle of Man,68,149,Isle of Man,a rock in the Irish Sea,1,businessnewsiom,#IsleofMan,ship registri set launch pioneer piec technolog aim helpin…,1.286679448847364e+18,Duncan Foulkes,0.0,Politics,Isle of Man,7,,
2020-07-24 15:06:59,Isle of Man,302,161,Isle of Man,Isle of Man,3,PaulWeatherall,#IsleofMan,coastlin offer true slice seren spectacular set isleofman iomferri ht…,1.2866792749682975e+18,Paul Weatherall,0.4215,Politics,Isle of Man,7,#isleofman #iomferry,✨
2020-07-24 15:06:19,Isle of Man,7126,151,Isle of Man,Isle of Man,3,iomsteampacket,#IsleofMan,coastlin offer true slice seren spectacular set isleofman iomferri,1.286679106889945e+18,Steam Packet Company,0.4215,Politics,Isle of Man,7,#isleofman #iomferry,✨
2020-07-24 15:03:04,Isle of Man,38684,115,Isle of Man,United Kingdom,5,UKCovid19Stats,#IsleofMan,daili coronaviru covid report coronaviru isleofman corona covid,1.2866782888371036e+18,UK COVID-19,0.0,Politics,Isle of Man,7,#coronavirus #isleofman #corona #covid19,
2020-07-24 15:00:41,Isle of Man,10897,511,Isle of Man,"Douglas, Isle of Man",1,iomnewspapers,#IsleofMan,ship registri set launch pioneer piec technolog aim help welfar thousand seafar isleofman,1.2866776915807232e+18,Isle of Man Newspapers,0.29600000000000004,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:57:59,Isle of Man,14070,570,Isle of Man,Isle of Man,1,ManxRadio,#IsleofMan,john knight infam arriv isleofman shore went viral chat chri pearson sian cowper friday breakfast show iom manxradio,1.2866770116966277e+18,Manx Radio,0.0,Politics,Isle of Man,7,#isleofman #iom #manxradio,
2020-07-24 14:57:11,Isle of Man,1464,783,Isle of Man,Isle of Man,6,angelaLbyrne,#IsleofMan,great start friday staycat week mile hill peac lot wildlif great view isl…,1.2866768104497807e+18,Angela Byrne,0.9134,Politics,Isle of Man,7,#staycation2020 #isl…,
2020-07-24 14:47:12,Isle of Man,1913,394,Isle of Man,Isle of Man,0,manxscenes,#IsleofMan,love quaint peter lane peel isleofman iom myiomstori iomstori peel manx,1.2866742995380716e+18,Peter Killey ~ Manx Scenes Photography,0.5859,Politics,Isle of Man,7,#isleofman #iom #myiomstory #iomstory #peel #manx,🇮 🇲
2020-07-24 14:45:13,Isle of Man,282,1413,Isle of Man,"Hertfordshire, UK",1,reelofthe51st,#IsleofMan,beauti bonker film anoth era isleofman llandudno sameprocedureaseveryday,1.286673800260735e+18,Heather Penny,0.5719,Politics,Isle of Man,7,#isleofman #llandudno #sameprocedureaseveryday,😊
2020-07-24 14:32:13,Isle of Man,16122,16767,Isle of Man,Slovenia,6,OkroguLes,#IsleofMan,rare breed loaghtan handwoven handfinish secur smart pet collar fulli adjust wra…,1.2866705287874929e+18,Okrogu Les,0.6249,Politics,Isle of Man,7,,
2020-07-24 14:28:56,Isle of Man,342,1257,Isle of Man,"Baltimore, Maryland",6,misterfluff,#IsleofMan,littl bottl fed ram lamb perfect space horn beauti fleec may stay entir,1.286669699300954e+18,(((misterfluff))),0.8225,Politics,Isle of Man,7,,
2020-07-24 14:04:26,Isle of Man,1432,1221,Isle of Man,Isle of Man,3,MHKSTWFY,#IsleofMan,isleofman regist manx entri permit,1.2866635351001252e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:04:21,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",3,BALLASALLAIOM,#IsleofMan,isleofman regist manx entri permit,1.286663515449811e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:04:17,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,3,ballasallaeddie,#IsleofMan,isleofman regist manx entri permit,1.2866634978043945e+18,eddie power,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:03:52,Isle of Man,3326,4282,Isle of Man,Isle of Man,3,CROWNDPN,#IsleofMan,isleofman regist manx entri permit,1.286663394200879e+18,crown dependency pol,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:03:04,Isle of Man,169,10,Isle of Man,Isle of Man,0,isleofman69,#IsleofMan,demand vegan bake good shoprit vegan croissant isleofman manx iom,1.2866631920898908e+18,Official Isle of Man,-0.5269,Politics,Isle of Man,7,#isleofman #manx #iom,
2020-07-24 14:01:31,Isle of Man,1432,1221,Isle of Man,Isle of Man,3,MHKSTWFY,#IsleofMan,isleofman tynwald member taught lesson faux pa,1.286662800127996e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:01:26,Isle of Man,4269,4994,Isle of Man,Isle of Man,0,RichyOwen_,#IsleofMan,rest peac fella dougla kingofthetown isleofman,1.2866627821553582e+18,Uncle Rich,0.5423,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:01:26,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",3,BALLASALLAIOM,#IsleofMan,isleofman tynwald member taught lesson faux pa,1.2866627818533683e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:01:21,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,3,ballasallaeddie,#IsleofMan,isleofman tynwald member taught lesson faux pa,1.286662759195738e+18,eddie power,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:00:42,Isle of Man,3326,4282,Isle of Man,Isle of Man,3,CROWNDPN,#IsleofMan,isleofman tynwald member taught lesson faux pa,1.286662596284887e+18,crown dependency pol,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 14:00:03,Isle of Man,10897,511,Isle of Man,"Douglas, Isle of Man",0,iomnewspapers,#IsleofMan,guest standard bank treat personalis dine experi home michelinstar chef isleofman,1.2866624334452165e+18,Isle of Man Newspapers,0.0,Politics,Isle of Man,7,#isleofman #,
2020-07-24 13:59:55,Isle of Man,1189,674,Isle of Man,Montréal (Canada) & Worldwide,4,JamesBluntCA,#IsleofMan,band throwback june manx isleofman,1.2866623992741683e+18,James Blunt Updates (Fanpage),0.0,Politics,Isle of Man,7,#throwback #june2018 #manx #isleofman #f…,
2020-07-24 13:58:37,Isle of Man,1913,394,Isle of Man,Isle of Man,1,manxscenes,#IsleofMan,well could happen peel possibl moddey dhoo isleofman iom manx peel,1.2866620713174098e+18,Peter Killey ~ Manx Scenes Photography,0.2732,Politics,Isle of Man,7,#isleofman #iom #manx #peel,🇮 🇲 😂 😆
2020-07-24 13:57:03,Isle of Man,1432,1221,Isle of Man,Isle of Man,3,MHKSTWFY,#IsleofMan,isleofman budget updat light detail,1.2866616769144095e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:56:58,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",3,BALLASALLAIOM,#IsleofMan,isleofman budget updat light detail,1.2866616554646856e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:56:53,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,3,ballasallaeddie,#IsleofMan,isleofman budget updat light detail,1.2866616356004168e+18,eddie power,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:56:26,Isle of Man,3326,4282,Isle of Man,Isle of Man,3,CROWNDPN,#IsleofMan,isleofman budget updat light detail,1.2866615230841242e+18,crown dependency pol,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:39:51,Isle of Man,1432,1221,Isle of Man,Isle of Man,4,MHKSTWFY,#IsleofMan,own former bu station site dougla say bonker use as…,1.286657347214086e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,,
2020-07-24 13:39:47,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",4,BALLASALLAIOM,#IsleofMan,own former bu station site dougla say bonker use as…,1.286657330109653e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,,
2020-07-24 13:39:42,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,4,ballasallaeddie,#IsleofMan,own former bu station site dougla say bonker use as…,1.2866573107151913e+18,eddie power,0.0,Politics,Isle of Man,7,,
2020-07-24 13:39:38,Isle of Man,3326,4282,Isle of Man,Isle of Man,4,CROWNDPN,#IsleofMan,own former bu station site dougla say bonker use as…,1.2866572921722388e+18,crown dependency pol,0.0,Politics,Isle of Man,7,,
2020-07-24 13:37:42,Isle of Man,1432,1221,Isle of Man,Isle of Man,11,MHKSTWFY,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2866568056454922e+18,mhkstheyworkforyou,0.8052,Politics,Isle of Man,7,,
2020-07-24 13:37:36,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",11,BALLASALLAIOM,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2866567828033167e+18,BALLASALLA IOM,0.8052,Politics,Isle of Man,7,,
2020-07-24 13:37:31,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,11,ballasallaeddie,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.286656761387266e+18,eddie power,0.8052,Politics,Isle of Man,7,,
2020-07-24 13:37:26,Isle of Man,3326,4282,Isle of Man,Isle of Man,11,CROWNDPN,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2866567399166198e+18,crown dependency pol,0.8052,Politics,Isle of Man,7,,
2020-07-24 13:30:22,Isle of Man,10897,511,Isle of Man,"Douglas, Isle of Man",4,iomnewspapers,#IsleofMan,own former bu station site dougla say bonker use car park isleofman,1.2866549612003082e+18,Isle of Man Newspapers,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:24:44,Isle of Man,2553,1106,Isle of Man,"Liverpool, England",3,NorthWestRFCA,#IsleofMan,drill practic first even back uniform brilliant face ad familiar one iom aircad…,1.2866535431942103e+18,North West RFCA,0.5859,Politics,Isle of Man,7,#iom #aircad…,
2020-07-24 13:22:38,Isle of Man,201,136,Isle of Man,"Shinjuku-ku, Tokyo",1,lucky_ninja88,#IsleofMan,preown airbu helicopt sale avgeek airbu airbushelicopt helicopt pilot bizav bizjet isleofman aircraft…,1.2866530165994086e+18,Hashila Ranawaka | Luckyninja,0.0,Politics,Isle of Man,7,#avgeeks #airbus #airbushelicopters #helicopter #pilot #bizav #bizjet #isleofman #aircraft…,
2020-07-24 13:16:08,Isle of Man,488,276,Isle of Man,Isle of Man,1,Heliquip,#IsleofMan,preown airbu helicopt sale avgeek airbu airbushelicopt helicopt pilot bizav bizjet isleofman aircraftforsal yacht richkidsofinstagram privatejetlif luxuryjet businessavi luxurylifestyl billionair millionair luxuryhelicopt,1.2866513811689636e+18,Heliquip Global Aviation🇮🇲,0.0,Politics,Isle of Man,7,#avgeeks #airbus #airbushelicopters #helicopter #pilot #bizav #bizjet #isleofman #aircraftforsale #yacht #richkidsofinstagram #privatejetlife #luxuryjet #businessaviation #luxurylifestyle #billionaire #millionaire #luxuryhelicopter,
2020-07-24 13:14:13,Isle of Man,183,235,Isle of Man,-,5,isleofmandan,#IsleofMan,strand today rais awar servic special day date reflect natur our…,1.2866508957495828e+18,🇮🇲Dan,0.4019,Politics,Isle of Man,7,,
2020-07-24 13:12:04,Isle of Man,256,433,Isle of Man,"iPhone: 54.156597,-4.481308",5,Hutchyiom,#IsleofMan,know onlin report form cyber concern incid isleofman report help un…,1.2866503584968868e+18,Mark Hutchinson,0.4019,Politics,Isle of Man,7,#isleofman?,
2020-07-24 13:03:38,Isle of Man,1432,1221,Isle of Man,Isle of Man,4,MHKSTWFY,#IsleofMan,guidanc around isleofman entri requir boat aircraft owner follow move level borders…,1.2866482344217395e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:03:31,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",4,BALLASALLAIOM,#IsleofMan,guidanc around isleofman entri requir boat aircraft owner follow move level borders…,1.2866482060472238e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:03:26,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,4,ballasallaeddie,#IsleofMan,guidanc around isleofman entri requir boat aircraft owner follow move level borders…,1.2866481854658355e+18,eddie power,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:03:13,Isle of Man,3326,4282,Isle of Man,Isle of Man,4,CROWNDPN,#IsleofMan,guidanc around isleofman entri requir boat aircraft owner follow move level borders…,1.2866481275005542e+18,crown dependency pol,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 13:02:47,Isle of Man,1432,1221,Isle of Man,Isle of Man,4,MHKSTWFY,#IsleofMan,middl constitu surgeri saturday juli noon crosbi,1.286648020784894e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,,
2020-07-24 13:02:42,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",4,BALLASALLAIOM,#IsleofMan,middl constitu surgeri saturday juli noon crosbi,1.2866480002494996e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,,
2020-07-24 13:02:38,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,4,ballasallaeddie,#IsleofMan,middl constitu surgeri saturday juli noon crosbi,1.2866479826921062e+18,eddie power,0.0,Politics,Isle of Man,7,,
2020-07-24 13:02:30,Isle of Man,3326,4282,Isle of Man,Isle of Man,4,CROWNDPN,#IsleofMan,middl constitu surgeri saturday juli noon crosbi,1.2866479498885652e+18,crown dependency pol,0.0,Politics,Isle of Man,7,,
2020-07-24 13:01:06,Isle of Man,10897,511,Isle of Man,"Douglas, Isle of Man",4,iomnewspapers,#IsleofMan,middl constitu surgeri saturday juli noon crosbi methodist hall isleofman,1.286647596480594e+18,Isle of Man Newspapers,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 12:56:16,Isle of Man,15516,399,Isle of Man,Isle of Man,4,IOMGovernment,#IsleofMan,guidanc around isleofman entri requir boat aircraft owner follow move level border framework avail manx entri permit must place land form must complet,1.2866463789371023e+18,Isle of Man Government,0.0,Politics,Isle of Man,7,#isleofman,
2020-07-24 12:45:29,Isle of Man,12963,13639,Isle of Man,-,2,AG_Exposed,#IsleofMan,gener observ pay dayfor isleofman streetphotographi fridaymotiv blackandwhitephotograph…,1.2866436660445594e+18,AG Exposed,-0.1027,Politics,Isle of Man,7,#isleofman #streetphotography #fridaymotivation #blackandwhitephotograph…,
2020-07-24 12:43:15,Isle of Man,1529,1535,Isle of Man,"Peel,Isle of Man 🇮🇲",2,phillipoKneen,#IsleofMan,gener observ pay dayfor isleofman streetphotographi fridaymotiv blackandwhitephotographi photojourn fuji fujifilm xseri streetphotograph fujixf dressdownfriday,1.2866431066879877e+18,Phil Kneen,-0.1027,Politics,Isle of Man,7,#isleofman #streetphotography #fridaymotivation #blackandwhitephotography #photojournalism #fuji #fujifilm_xseries #streetphotographer #fujixf10 #dressdownfriday,
2020-07-24 12:39:03,Isle of Man,63,347,Isle of Man,-,11,jdiom,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2866420478652375e+18,JD,0.8052,Politics,Isle of Man,7,,
2020-07-24 12:32:49,Isle of Man,168,911,Isle of Man,-,11,kokobet2,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2866404775094764e+18,FI Manx,0.8052,Politics,Isle of Man,7,,
